cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
2355,3,357,277,Preg,10,281,56,357,-1.0,-1.0,-1.0,-1,34518,-1,60,280,HO,300,924
2358,4,89,19,Bred,3,281,0,88,112.0,2.6,2.7,-1,28014,-1,60,280,HO,215,200
2361,4,156,0,Open,10,-1,0,155,64.0,5.1,3.2,-1,20071,-1,60,280,HO,95,752
2362,4,175,103,Preg,10,283,0,174,44.0,3.8,3.3,-1,18631,-1,60,280,HO,-42,750
2363,4,100,26,Bred,17,283,0,99,92.0,3.5,3.0,-1,24976,-1,60,280,HO,88,244
2373,4,175,40,Bred,3,283,0,174,76.0,4.2,3.3,-1,21885,-1,60,280,HO,-45,701
2392,4,157,82,Preg,10,281,0,156,52.0,4.0,3.2,-1,22519,-1,60,280,HO,128,167
2397,3,240,8,Bred,14,281,0,239,96.0,1.7,3.3,-1,30382,-1,60,280,HO,-24,1095
2398,3,322,0,Open,10,-1,0,321,80.0,2.5,3.1,-1,27390,-1,60,280,HO,254,588
2399,4,75,5,Bred,17,281,0,74,104.0,3.0,2.8,-1,24436,-1,60,280,HO,259,668
2401,3,376,262,Preg,10,281,56,376,-1.0,-1.0,-1.0,-1,31662,-1,60,280,HO,343,685
2410,4,136,61,Preg,10,281,0,135,76.0,3.2,3.0,-1,21180,-1,60,280,HO,99,374
2411,3,319,256,Preg,10,281,56,319,-1.0,-1.0,-1.0,-1,27292,-1,60,280,HO,56,802
2413,4,76,5,Bred,17,281,0,75,92.0,2.8,2.8,-1,24878,-1,60,280,HO,110,1091
2415,4,117,3,Bred,19,280,0,116,64.0,3.4,3.5,-1,22213,-1,60,280,HO,194,279
2426,3,289,237,Preg,10,281,21,289,-1.0,-1.0,-1.0,-1,29837,-1,60,280,HO,279,396
2431,4,174,23,Bred,20,281,0,173,66.8,5.0,3.4,-1,21453,-1,60,280,HO,162,964
2433,4,151,75,Preg,10,280,0,150,60.0,3.4,3.8,-1,23942,-1,60,280,HO,95,313
2434,3,347,248,Preg,10,281,28,347,-1.0,-1.0,-1.0,-1,25245,-1,60,280,HO,146,438
2437,4,40,0,Open,10,-1,0,39,106.0,4.4,3.7,-1,-1,-1,60,280,HO,91,969
2441,3,214,17,Bred,5,281,0,213,100.0,3.6,3.0,-1,32772,-1,60,280,HO,289,892
2444,4,3,0,Open,10,-1,0,2,1.4E-45,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,43,387
2449,3,288,215,Preg,10,281,0,287,34.0,4.8,3.9,-1,27143,-1,60,280,HO,95,642
2451,3,228,54,Preg,10,281,0,227,32.0,3.1,3.3,-1,25324,-1,60,280,HO,158,603
2459,3,258,187,Preg,10,281,0,257,52.0,5.0,3.2,-1,28090,-1,60,280,HO,299,142
2463,4,152,82,Preg,10,281,0,151,100.0,3.0,3.0,-1,29445,-1,60,280,HO,-30,264
2465,4,30,0,Open,10,-1,0,29,96.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,-70,78
2470,3,208,24,Bred,19,281,0,207,100.0,3.0,2.9,-1,30305,-1,60,280,HO,191,615
2474,3,304,185,Preg,10,281,28,304,-1.0,-1.0,-1.0,-1,21418,-1,60,280,HO,40,819
2481,3,360,253,Preg,10,281,35,360,-1.0,-1.0,-1.0,-1,28270,-1,60,280,HO,78,927
