Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
2552,3,352,,,,,C,351,40,3,3,,31387,B,2,HO,73,
2554,3,234,159,,122,,P,233,68,4.5,3.4,,28453,A,2,HO,254,
2558,3,205,38,5,243,,,204,76,4.5,3.4,,23731,D,2,HO,10,
2559,4,42,,,,,,41,104,4.2,3.4,,,,2,HO,62,
2560,4,71,,,,,,70,104,2.9,2.6,,24779,C,2,HO,210,
2562,3,350,241,,40,28,P,350,,,,,31219,A,1,HO,279,
2563,3,327,271,,10,56,P,327,,,,,20625,E,1,HO,-81,
2568,3,258,164,,117,,P,257,60,3.9,3.2,,24711,C,2,HO,192,
2569,3,296,222,,59,,P,295,22,3.5,3.5,,27131,B,2,HO,156,
2570,4,297,236,,45,14,P,297,,,,,26982,C,1,HO,51,
2575,3,371,271,,10,49,P,371,,,,,29586,B,1,HO,194,
2576,3,252,180,,101,,P,251,36,3.6,2.8,,22558,E,2,HO,156,
2581,3,45,,,,,,44,112,3.2,3.2,,,,2,HO,70,
2582,3,302,207,,74,,P,301,42,5,3.9,,32547,A,2,HO,303,
2583,3,284,86,,195,,P,283,52,3.8,3.1,,22065,D,2,HO,53,
2584,3,408,207,,74,,P,407,42,4.1,3.2,,29858,B,2,HO,97,
2586,3,308,,,,,C,307,40,4.9,3.5,,26746,B,2,HO,263,
2587,3,275,,,,,C,274,48,2.9,2.7,,21188,E,2,HO,,14
2592,4,43,,,,,C,42,60,,,,,,2,HO,258,
2596,3,229,16,6,265,,,228,80,3.2,3,,34048,A,2,HO,140,
2599,4,8,,,,,,7,80,,,,,,2,HO,274,
2600,3,171,64,,217,,P,170,96,2.8,2.9,,29442,B,2,HO,328,
2601,3,318,200,,81,,P,317,28,3.7,3.2,,29410,B,2,HO,157,
2605,3,294,243,,38,21,P,294,,,,,31268,B,1,HO,149,
2606,3,345,215,,66,28,P,345,,,,,20360,E,1,HO,127,
2608,3,144,68,,213,,P,143,100,3.3,2.8,,26274,C,2,HO,235,
2609,3,292,264,,17,42,P,292,,,,,28459,B,1,HO,200,
2610,3,276,159,,122,,P,275,56,5.4,3.9,,27251,B,2,HO,159,
2611,3,285,144,,137,,P,284,48,4.1,3.4,,26413,C,2,HO,176,
2614,3,306,180,,101,,P,305,12,4,3.2,,18851,E,2,HO,319,
2617,4,42,,,,,,41,104,4.4,3.2,,,,2,HO,142,
2618,3,302,173,,108,,P,301,48,4.3,3.3,,21481,D,2,HO,46,
2619,3,318,139,,142,,P,317,32,3.6,3.3,,23921,D,2,HO,148,
2623,3,325,184,,97,,P,324,40,3.6,3,,28803,C,2,HO,-4,
2625,3,248,264,,17,91,P,248,,,,,19781,E,1,HO,98,
2627,4,43,,,,,,42,92,4.4,3.4,,,,2,HO,106,
2630,3,273,,,,,C,272,44,4.1,3.4,,25978,C,2,HO,199,
2632,3,228,152,,129,,P,227,88,3.4,3.4,,32099,A,2,HO,51,
2639,3,259,64,,217,,P,258,76,3.7,3.2,,27371,B,2,HO,288,
2643,3,244,173,,108,,P,243,52,4.7,3.8,,22438,D,2,HO,147,
2648,3,190,94,,187,,P,189,86,3.9,3,,26424,B,2,HO,234,
2651,3,216,7,15,274,,,215,100,4.3,2.9,,30055,A,2,HO,176,
2653,2,363,136,,145,,P,362,68,4,3.2,,31353,A,2,HO,74,
